Farbe	[фáрбе]	колір	[kólir]
rot	[рóт]	червоний	[tschervónij]
gelb	[гéльб]	жовтий	[shóvtij]
blau	[блáу]	синій	[sýnij]
violett	[віолéт]	фіолетовий	[fiolétovyj]
cyan	[ціáн]	ціановий	[ziánovyj]
orange	[орáнж]	оранжевий	[oránshevyj]
grün	[грюн]	зелений	[selényj]
magenta	[магéнта]	магента	[magénta]
braun	[брáун]	коричневий	[korýtschnevyj]
weiß	[вайс]	білий	[bílyj]
grau	[грáу]	сірий	[síryj]
schwarz	[шварц]	чорний	[tschórnyj]
Helligkeit	[хéліжкайт]	Освітленість	[osvítlenist']
Dunkelheit	[дýнкельхайт]	Темнота	[temnotá]
Transparenz	[транспарéнц]	Прозрачність	[prosrátschnist']
Farbton	[фарбтóн]	Відтінок	[vidtínok]
Sättigung	[сéтігунг]	Насищеність	[nasúschtschenist']
